region,bygnType,statistikkvariabel,aar,value,k_kode,kommune_nr,fylkesnr,fylke
Moss,Boligblokk,Boliger (bebodde og ubebodde),2019,6511,K-3103,3103,31,Østfold
Moss,Boligblokk,Boliger (bebodde og ubebodde),2020,7228,K-3103,3103,31,Østfold
Moss,Boligblokk,Boliger (bebodde og ubebodde),2021,7323,K-3103,3103,31,Østfold
Moss,Boligblokk,Boliger (bebodde og ubebodde),2022,7658,K-3103,3103,31,Østfold
Moss,Boligblokk,Boliger (bebodde og ubebodde),2023,7987,K-3103,3103,31,Østfold
Moss,Boligblokk,Boliger (bebodde og ubebodde),2024,8225,K-3103,3103,31,Østfold
Moss,Boligblokk,Boliger (bebodde og ubebodde),2025,8363,K-3103,3103,31,Østfold
Moss,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2006,133,K-3103,3103,31,Østfold
Moss,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2007,194,K-3103,3103,31,Østfold
Moss,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2008,223,K-3103,3103,31,Østfold
Moss,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2009,225,K-3103,3103,31,Østfold
Moss,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2010,225,K-3103,3103,31,Østfold
Moss,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2011,226,K-3103,3103,31,Østfold
Moss,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2012,241,K-3103,3103,31,Østfold
Moss,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2013,241,K-3103,3103,31,Østfold
Moss,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2014,303,K-3103,3103,31,Østfold
Moss,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2015,312,K-3103,3103,31,Østfold
Moss,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2016,315,K-3103,3103,31,Østfold
Moss,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2017,315,K-3103,3103,31,Østfold
Moss,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2018,313,K-3103,3103,31,Østfold
Moss,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2019,324,K-3103,3103,31,Østfold
Moss,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2020,326,K-3103,3103,31,Østfold
